tag,step,wall_time,value
train/l1 loss,0,1736355604.486,0.3240620493888855
train/l1 loss,10,1736355604.829,0.3820825517177582
train/l1 loss,20,1736355605.093,0.36246737837791443
train/l1 loss,30,1736355605.357,0.34978991746902466
train/l1 loss,40,1736355605.617,0.39342212677001953
train/l1 loss,50,1736355605.896,0.343111127614975
train/l1 loss,60,1736355606.165,0.39105165004730225
train/l1 loss,70,1736355606.432,0.4158429503440857
train/l1 loss,80,1736355606.706,0.41503652930259705
train/l1 loss,90,1736355606.983,0.31076952815055847
train/l1 loss,100,1736355607.247,0.333150714635849
train/l1 loss,110,1736355607.516,0.29789412021636963
train/l1 loss,120,1736355607.797,0.2703821063041687
train/l1 loss,130,1736355608.080,0.26948288083076477
train/l1 loss,140,1736355608.365,0.22988268733024597
train/l1 loss,150,1736355608.645,0.2836402654647827
train/l1 loss,160,1736355608.913,0.2925202250480652
train/l1 loss,170,1736355609.178,0.27997928857803345
train/l1 loss,180,1736355609.447,0.2526716887950897
train/l1 loss,190,1736355609.724,0.28989776968955994
train/l1 loss,200,1736355610.003,0.22979845106601715
train/l1 loss,210,1736355610.332,0.3196690082550049
train/l1 loss,220,1736355610.728,0.2810025215148926
train/l1 loss,230,1736355611.004,0.28824129700660706
train/l1 loss,240,1736355611.278,0.21072833240032196
train/l1 loss,250,1736355611.553,0.2991305887699127
train/l1 loss,260,1736355611.824,0.21848849952220917
train/l1 loss,270,1736355612.094,0.16644036769866943
train/l1 loss,280,1736355612.364,0.17922930419445038
train/l1 loss,290,1736355612.630,0.18179726600646973
train/l1 loss,300,1736355612.899,0.17833852767944336
train/l1 loss,310,1736355613.174,0.17675967514514923
train/l1 loss,320,1736355613.468,0.21748727560043335
train/l1 loss,330,1736355613.754,0.17708507180213928
train/l1 loss,340,1736355614.025,0.1828969419002533
train/l1 loss,350,1736355614.302,0.18986676633358002
train/l1 loss,360,1736355614.583,0.25165078043937683
train/l1 loss,370,1736355614.876,0.1845146268606186
train/l1 loss,380,1736355615.171,0.12204507738351822
train/l1 loss,390,1736355615.460,0.21602703630924225
train/l1 loss,400,1736355615.750,0.18724817037582397
train/l1 loss,410,1736355616.262,0.15830561518669128
train/l1 loss,420,1736355616.538,0.13685652613639832
train/l1 loss,430,1736355616.823,0.14398889243602753
train/l1 loss,440,1736355617.217,0.14080554246902466
train/l1 loss,450,1736355617.500,0.15180811285972595
train/l1 loss,460,1736355617.780,0.16585054993629456
train/l1 loss,470,1736355618.051,0.10826637595891953
train/l1 loss,480,1736355618.326,0.13533200323581696
train/l1 loss,490,1736355618.595,0.13826611638069153
train/l1 loss,500,1736355618.867,0.12567569315433502
train/l1 loss,510,1736355619.170,0.15789517760276794
train/l1 loss,520,1736355619.483,0.1387927234172821
train/l1 loss,530,1736355619.803,0.11996360868215561
train/l1 loss,540,1736355620.130,0.15606893599033356
train/l1 loss,550,1736355620.450,0.16883161664009094
train/l1 loss,560,1736355620.779,0.12829893827438354
train/l1 loss,570,1736355621.110,0.16267085075378418
train/l1 loss,580,1736355621.437,0.14530415832996368
train/l1 loss,590,1736355621.768,0.14885233342647552
train/l1 loss,600,1736355622.100,0.13805769383907318
train/l1 loss,610,1736355623.231,0.105237677693367
train/l1 loss,620,1736355623.538,0.11937755346298218
train/l1 loss,630,1736355623.844,0.10521844774484634
train/l1 loss,640,1736355624.150,0.12230528891086578
train/l1 loss,650,1736355624.448,0.11439915001392365
train/l1 loss,660,1736355624.859,0.12667882442474365
train/l1 loss,670,1736355625.162,0.0929076224565506
train/l1 loss,680,1736355625.464,0.1337185502052307
train/l1 loss,690,1736355625.765,0.09493262320756912
train/l1 loss,700,1736355626.067,0.11982883512973785
train/l1 loss,710,1736355626.393,0.09163989871740341
train/l1 loss,720,1736355626.720,0.09907127916812897
train/l1 loss,730,1736355627.032,0.1383940428495407
train/l1 loss,740,1736355627.335,0.09107033908367157
train/l1 loss,750,1736355627.639,0.09323529899120331
train/l1 loss,760,1736355627.946,0.09351137280464172
train/l1 loss,770,1736355628.254,0.1127128079533577
train/l1 loss,780,1736355628.566,0.09715921431779861
train/l1 loss,790,1736355628.884,0.10958323627710342
train/l1 loss,800,1736355629.212,0.08846983313560486
train/l1 loss,810,1736355630.319,0.0858011469244957
train/l1 loss,820,1736355630.624,0.09951914846897125
train/l1 loss,830,1736355630.926,0.08516701310873032
train/l1 loss,840,1736355631.228,0.13117949664592743
train/l1 loss,850,1736355631.530,0.12709903717041016
train/l1 loss,860,1736355631.845,0.08310583233833313
train/l1 loss,870,1736355632.168,0.1250789612531662
train/l1 loss,880,1736355632.611,0.11801253259181976
train/l1 loss,890,1736355632.944,0.09634896367788315
train/l1 loss,900,1736355633.265,0.09896816313266754
train/l1 loss,910,1736355633.590,0.09133650362491608
train/l1 loss,920,1736355633.916,0.09311164915561676
train/l1 loss,930,1736355634.241,0.09379279613494873
train/l1 loss,940,1736355634.565,0.09788788110017776
train/l1 loss,950,1736355634.879,0.09167031198740005
train/l1 loss,960,1736355635.196,0.09341201931238174
train/l1 loss,970,1736355635.501,0.11884890496730804
train/l1 loss,980,1736355635.807,0.07546181231737137
train/l1 loss,990,1736355636.112,0.10692990571260452
train/l1 loss,1000,1736355636.833,0.1117422953248024
train/l1 loss,1010,1736355639.139,0.08176719397306442
train/l1 loss,1020,1736355639.441,0.13291488587856293
train/l1 loss,1030,1736355639.746,0.12353372573852539
train/l1 loss,1040,1736355640.047,0.08339609205722809
train/l1 loss,1050,1736355640.353,0.10305018723011017
train/l1 loss,1060,1736355640.664,0.07826175540685654
train/l1 loss,1070,1736355640.974,0.11440621316432953
train/l1 loss,1080,1736355641.281,0.11660193651914597
train/l1 loss,1090,1736355641.588,0.10672235488891602
train/l1 loss,1100,1736355642.124,0.09153810143470764
train/l1 loss,1110,1736355642.468,0.08498223125934601
train/l1 loss,1120,1736355642.802,0.09073514491319656
train/l1 loss,1130,1736355643.133,0.10191613435745239
train/l1 loss,1140,1736355643.467,0.10066787898540497
train/l1 loss,1150,1736355643.803,0.10702797025442123
train/l1 loss,1160,1736355644.138,0.11448810249567032
train/l1 loss,1170,1736355644.475,0.08720846474170685
train/l1 loss,1180,1736355644.816,0.07385032624006271
train/l1 loss,1190,1736355645.134,0.0775662288069725
train/l1 loss,1200,1736355645.740,0.06452524662017822
train/l1 loss,1210,1736355647.431,0.08599953353404999
train/l1 loss,1220,1736355647.745,0.0860329270362854
train/l1 loss,1230,1736355648.062,0.07086150348186493
train/l1 loss,1240,1736355648.373,0.0805736556649208
train/l1 loss,1250,1736355648.689,0.07437379658222198
train/l1 loss,1260,1736355649.399,0.06468087434768677
train/l1 loss,1270,1736355649.711,0.08363192528486252
train/l1 loss,1280,1736355650.023,0.07023946195840836
train/l1 loss,1290,1736355650.336,0.08116675168275833
train/l1 loss,1300,1736355650.754,0.10405657440423965
train/l1 loss,1310,1736355651.089,0.08825526386499405
train/l1 loss,1320,1736355651.524,0.08824218064546585
train/l1 loss,1330,1736355651.843,0.07065621763467789
train/l1 loss,1340,1736355652.161,0.08174687623977661
train/l1 loss,1350,1736355652.482,0.05632488429546356
train/l1 loss,1360,1736355652.802,0.0719611868262291
train/l1 loss,1370,1736355653.119,0.08658577501773834
train/l1 loss,1380,1736355653.434,0.06691933423280716
